taglank,plats,plandatumtid,train_type
202404103940,Jonsered östra,2024-04-10 22:51:00,GT
202404103940,Jonsered Västra,2024-04-10 22:51:00,GT
202404103940,Partille,2024-04-10 22:54:00,GT
202404103940,Sävedalen,2024-04-10 22:56:00,GT
202404103940,Göteborg Sävenäs,2024-04-10 22:58:00,GT
202404103940,Olskroken,2024-04-10 22:59:00,GT
202404103940,Göteborg Kville,2024-04-10 23:05:00,GT
202404103940,Göteborg Kville,2024-04-10 23:08:00,GT
202404103940,Göteborg Lindholmen,2024-04-10 23:13:00,GT
202404103940,Pölsebo,2024-04-10 23:16:00,GT
202404103940,Göteborg Skandiahamnen,2024-04-10 23:23:00,GT
202404103955,Katrineholms c,2024-04-10 14:19:00,GT
202404103956,Falköpings c,2024-04-10 08:10:00,GT
202404103956,Falköpings c,2024-04-10 08:35:00,GT
202404103956,Floby,2024-04-10 08:48:00,GT
202404103956,Källeryd,2024-04-10 08:53:00,GT
202404103956,Herrljunga central,2024-04-10 09:01:00,GT
202404103956,Herrljunga västra,2024-04-10 09:03:00,GT
202404103956,Vårgårda,2024-04-10 09:09:00,GT
202404103956,Algutsgården,2024-04-10 09:17:00,GT
202404103956,Algutsgården,2024-04-10 09:17:00,GT
202404103956,Alingsås,2024-04-10 09:26:00,GT
202404103956,Bryngenäs,2024-04-10 09:29:00,GT
202404103956,Västra Bodarna,2024-04-10 09:30:00,GT
202404103956,Norsesund,2024-04-10 09:32:00,GT
202404103956,Norsesund västra,2024-04-10 09:33:00,GT
202404103956,Floda,2024-04-10 09:38:00,GT
202404103956,Stenkullen,2024-04-10 09:40:00,GT
202404103956,Stenkullen,2024-04-10 09:40:00,GT
202404103956,Lerum,2024-04-10 09:45:00,GT
202404103956,Aspedalen,2024-04-10 09:45:00,GT
202404103956,Aspen,2024-04-10 09:46:00,GT
202404103956,Jonsered östra,2024-04-10 09:48:00,GT
202404103956,Jonsered Västra,2024-04-10 09:49:00,GT
202404103956,Partille,2024-04-10 09:52:00,GT
202404103956,Sävedalen,2024-04-10 09:53:00,GT
202404103956,Göteborg Sävenäs,2024-04-10 09:55:00,GT
202404103956,Olskroken,2024-04-10 09:57:00,GT
202404103956,Göteborg Kville,2024-04-10 10:01:00,GT
202404103956,Göteborg Lindholmen,2024-04-10 10:06:00,GT
202404103956,Pölsebo,2024-04-10 10:09:00,GT
202404103956,Göteborg Skandiahamnen,2024-04-10 10:16:00,GT
202404103958,Göteborg Skandiahamnen,2024-04-10 07:13:00,GT
202404103958,Pölsebo,2024-04-10 07:22:00,GT
202404103958,Göteborg Lindholmen,2024-04-10 07:24:00,GT
202404103958,Göteborg Kville,2024-04-10 07:30:00,GT
202404103958,Göteborg Sävenäs,2024-04-10 07:34:00,GT
202404103958,Sävedalen,2024-04-10 07:38:00,GT
202404103958,Partille,2024-04-10 07:40:00,GT
202404103958,Jonsered Västra,2024-04-10 07:43:00,GT
202404103958,Jonsered östra,2024-04-10 07:44:00,GT
202404103958,Aspen,2024-04-10 07:47:00,GT
202404103958,Aspedalen,2024-04-10 07:48:00,GT
202404103958,Lerum,2024-04-10 07:49:00,GT
202404103958,Stenkullen,2024-04-10 07:52:00,GT
202404103958,Floda,2024-04-10 07:55:00,GT
202404103958,Norsesund västra,2024-04-10 08:00:00,GT
202404103958,Norsesund,2024-04-10 08:00:00,GT
202404103958,Västra Bodarna,2024-04-10 08:03:00,GT
202404103958,Bryngenäs,2024-04-10 08:04:00,GT
202404103958,Alingsås,2024-04-10 08:09:00,GT
202404103958,Algutsgården,2024-04-10 08:17:00,GT
202404103958,Vårgårda,2024-04-10 08:24:00,GT
202404103958,Herrljunga västra,2024-04-10 08:46:00,GT
202404103958,Herrljunga central,2024-04-10 08:49:00,GT
202404103958,Källeryd,2024-04-10 08:56:00,GT
202404103958,Floby,2024-04-10 09:02:00,GT
202404103958,Falköpings c,2024-04-10 09:10:00,GT
202404103958,Falköpings norra,2024-04-10 09:12:00,GT
202404103958,Falköpings norra,2024-04-10 09:24:00,GT
202404103958,Stenstorp,2024-04-10 09:33:00,GT
202404103958,Regumatorp,2024-04-10 09:38:00,GT
202404103958,Skövde c,2024-04-10 09:44:00,GT
202404103958,Väring,2024-04-10 09:54:00,GT
202404103958,Moholm,2024-04-10 10:02:00,GT
202404103958,Töreboda,2024-04-10 10:10:00,GT
202404103958,Slätte,2024-04-10 10:16:00,GT
202404103958,Slätte,2024-04-10 10:22:00,GT
202404103958,Älgarås,2024-04-10 10:27:00,GT
202404103958,Gårdsjö,2024-04-10 10:32:00,GT
202404103958,Finnerödja,2024-04-10 10:38:00,GT
202404103958,Laxå,2024-04-10 10:48:00,GT
202404103958,Linddalen,2024-04-10 10:52:00,GT
202404103958,Vretstorp,2024-04-10 10:56:00,GT
202404103958,Östansjö,2024-04-10 11:00:00,GT
202404103958,Tälle,2024-04-10 11:02:00,GT
202404103958,Hallsbergs rangerbangård,2024-04-10 11:04:00,GT
202404103958,Hallsbergs pbg,2024-04-10 11:07:00,GT
202404104118,Hallsbergs rangerbangård,2024-04-11 01:36:00,GT
202404104118,Hallsbergs pbg,2024-04-11 01:38:00,GT
202404104120,Falköpings c,2024-04-10 23:58:00,GT
202404104120,Falköpings norra,2024-04-11 00:00:00,GT
202404104120,Stenstorp,2024-04-11 00:08:00,GT
202404104120,Regumatorp,2024-04-11 00:12:00,GT
202404104120,Skövde c,2024-04-11 00:17:00,GT
202404104120,Väring,2024-04-11 00:26:00,GT
202404104120,Moholm,2024-04-11 00:33:00,GT
202404104120,Töreboda,2024-04-11 00:40:00,GT
202404104120,Slätte,2024-04-11 00:45:00,GT
202404104120,Älgarås,2024-04-11 00:49:00,GT
202404104120,Gårdsjö,2024-04-11 00:54:00,GT
202404104120,Finnerödja,2024-04-11 00:59:00,GT
202404104120,Laxå,2024-04-11 01:07:00,GT
202404104120,Linddalen,2024-04-11 01:12:00,GT
202404104120,Vretstorp,2024-04-11 01:16:00,GT
202404104120,Östansjö,2024-04-11 01:20:00,GT
202404104120,Tälle,2024-04-11 01:22:00,GT
202404104120,Hallsbergs rangerbangård,2024-04-11 01:28:00,GT
202404104120,Hallsbergs pbg,2024-04-11 01:30:00,GT
202404104120,Pålsboda,2024-04-11 01:39:00,GT
202404104120,Kilsmo,2024-04-11 01:46:00,GT
202404104120,Högsjö,2024-04-11 01:52:00,GT
202404104120,Vingåker,2024-04-11 01:57:00,GT
202404104120,Baggetorp,2024-04-11 02:04:00,GT
202404104120,Katrineholms c,2024-04-11 02:10:00,GT
202404104120,Stolpstugan,2024-04-11 02:14:00,GT
202404104120,Sköldinge,2024-04-11 02:18:00,GT
202404104120,Flen,2024-04-11 02:24:00,GT
202404104120,Flen,2024-04-11 04:23:00,GT
202404104125,Göteborg Skandiahamnen,2024-04-10 19:36:00,GT
202404104125,Pölsebo,2024-04-10 19:41:00,GT
202404104125,Göteborg Lindholmen,2024-04-10 19:44:00,GT
202404104125,Göteborg Kville,2024-04-10 19:50:00,GT
202404104125,Göteborg Sävenäs,2024-04-10 19:54:00,GT
202404104125,Sävedalen,2024-04-10 19:57:00,GT
202404104125,Partille,2024-04-10 20:00:00,GT
202404104125,Jonsered Västra,2024-04-10 20:03:00,GT
202404104125,Jonsered östra,2024-04-10 20:04:00,GT
202404104125,Aspen,2024-04-10 20:05:00,GT
202404104125,Aspedalen,2024-04-10 20:06:00,GT
202404104125,Lerum,2024-04-10 20:07:00,GT
202404104125,Stenkullen,2024-04-10 20:11:00,GT
202404104125,Stenkullen,2024-04-10 20:16:00,GT
